source_doi,source_year,source_type,mode,reference_doi,claimed_title,claimed_authors,claimed_year,verdict,authority,title_similarity,detail
10.1080/07380569.2014.879684,2014,journal-article,identified,10.1201/9780080919171,The art of game design: A book of lenses,J.,2008,verified,crossref,100.0,title matches record (100% similarity)
10.1080/07380569.2014.879684,2014,journal-article,described,10.1201/9780080919171,The art of game design: A book of lenses,J.,2008,verified,openalex,100.0,"not found in Crossref, but OpenAlex holds a matching book-review (100% title similarity)"
10.1080/07380569.2014.879684,2014,journal-article,identified,10.1163/9789087903121_004,The design and use of simulation computer games in education,D.,2007,mismatch,crossref,37.64705882352941,identifier resolves to a DIFFERENT work. Document claims 'The design and use of simulation computer games in education'; record holds 'In Praise of Epistemology' (38% similarity)
10.1080/07380569.2014.879684,2014,journal-article,described,10.1163/9789087903121_004,The design and use of simulation computer games in education,D.,2007,verified,openalex,100.0,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
10.1080/07380569.2014.879684,2014,journal-article,identified,10.1163/9789087903121,The design and use of simulation computer games in education,B.E.,2007,verified,crossref,100.0,title matches record (100% similarity)
10.1080/07380569.2014.879684,2014,journal-article,described,10.1163/9789087903121,The design and use of simulation computer games in education,B.E.,2007,verified,openalex,100.0,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1016/j.ijmachtools.2006.01.007,The influence of the ratio of “rotational speed/traverse speed” (ω/ν) on mechanical properties of AZ31 friction stir welds,Gharacheh,2006,verified,crossref,99.01960784313725,title matches record (99% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1016/j.ijmachtools.2006.01.007,The influence of the ratio of “rotational speed/traverse speed” (ω/ν) on mechanical properties of AZ31 friction stir welds,Gharacheh,2006,verified,crossref,99.01960784313725,matched a Crossref record by title search (99% similarity); no DOI given in document
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1016/j.actamat.2008.09.011,Friction stir welding of AZ31 magnesium alloy rolled sheets: influence of processing parameters,Commin,2009,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1016/j.actamat.2008.09.011,Friction stir welding of AZ31 magnesium alloy rolled sheets: influence of processing parameters,Commin,2009,verified,crossref,100.0,matched a Crossref record by title search (100% similarity); no DOI given in document
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1016/s0167-577x(00)00041-0,Fracture behavior of AZ91 magnesium alloy,Lu,2000,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1016/s0167-577x(00)00041-0,Fracture behavior of AZ91 magnesium alloy,Lu,2000,verified,crossref,86.11111111111111,matched a Crossref record by title search (86% similarity); no DOI given in document
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1016/s0921-5093(01)01358-2,Microstructural studies of friction stir welds in 2024-T3 aluminum,Sutton,2002,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1016/s0921-5093(01)01358-2,Microstructural studies of friction stir welds in 2024-T3 aluminum,Sutton,2002,verified,crossref,100.0,matched a Crossref record by title search (100% similarity); no DOI given in document
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1016/j.scriptamat.2006.10.035,Enhanced mechanical properties of Mg–Al–Zn cast alloy via friction stir processing,Feng,2007,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1016/j.scriptamat.2006.10.035,Enhanced mechanical properties of Mg–Al–Zn cast alloy via friction stir processing,Feng,2007,verified,crossref,100.0,matched a Crossref record by title search (100% similarity); no DOI given in document
10.1016/j.matchar.2014.08.001,2014,journal-article,identified,10.1007/s11661-012-1373-4,"Effects of rotation rates on microstructure, mechanical properties, and fracture behavior of friction stir-welded (FSW) AZ31 magnesium alloy",Yang,2013,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.matchar.2014.08.001,2014,journal-article,described,10.1007/s11661-012-1373-4,"Effects of rotation rates on microstructure, mechanical properties, and fracture behavior of friction stir-welded (FSW) AZ31 magnesium alloy",Yang,2013,verified,crossref,100.0,matched a Crossref record by title search (100% similarity); no DOI given in document
10.1016/j.ecoenv.2013.10.002,2014,journal-article,identified,10.1016/s0378-4274(02)00104-2,Predicting three narcosis mechanisms of aquatic toxicity,Ren,2002,verified,crossref,100.0,title matches record (100% similarity)
10.1016/j.ecoenv.2013.10.002,2014,journal-article,described,10.1016/s0378-4274(02)00104-2,Predicting three narcosis mechanisms of aquatic toxicity,Ren,2002,verified,crossref,100.0,matched a Crossref record by title search (100% similarity); no DOI given in document
