article,template,kind,identifier,claimed_title,verdict,authority,detail
R Puppis,journal,arxiv,2602.02449,Painting a Family Portrait of the Yellow Super- and Hypergiants in the Milky Way I. Constraining the Distances and Luminosities,unreachable,-,check could not be completed: https://export.arxiv.org/api/query?id_list=2602.02449&max_results=1: The read operation timed out
R Puppis,journal,bibliographic,,"VizieR Online Data Catalog: StarHorse2, Gaia EDR3 photo-astrometric distances (Anders+, 2022)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Photo-astrometric distances, extinctions, and astrophysical parameters for\n                    <i>Gaia</i>\n                    EDR3 stars brighter than\n                    <i>G</i>\n                    = 18.5' at 62% similarity, below the threshold for a match."
R Puppis,web,bibliographic,,ASAS All Star Catalogue,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The star catalogue' at 88% similarity, below the threshold for a match."
R Puppis,journal,bibliographic,,R Pup - a Variable after all,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
R Puppis,journal,doi,10.1086/113323,"Pseudocepheids. I. R Puppis, HR 4441, HR 4511, and AI CMi",verified,crossref,title matches record (100% similarity)
R Puppis,journal,bibliographic,,VizieR Online Data Catalog: Catalogue of Stellar Photometry in Johnson's 11-color system,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
R Puppis,journal,doi,10.1086/191373,The Perkins catalog of revised MK types for the cooler stars,verified,crossref,title matches record (100% similarity)
R Puppis,journal,bibliographic,,VizieR Online Data Catalog: General Catalogue of Variable Stars (Samus+ 2007-2013),verified,crossref,matched a Crossref record by title search (88% similarity); no DOI given in document
Coelom,book,bibliographic,,Abrégé du dictionnaire grec français,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Coelom,web,bibliographic,,Greek-french dictionary online,not_found,crossref+openalex,"no indexed record matches this description. Closest was ""French Etching in the 1860's"" at 52% similarity, below the threshold for a match."
Coelom,journal,doi,10.1007/s004359900019,The origin of the coelom in Brachiopoda and its phylogenetic significance,verified,crossref,title matches record (100% similarity)
Coelom,book,bibliographic,,Biology of Non-Chordates,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Lacan on Sexual Non-Rapport' at 43% similarity, below the threshold for a match."
Coelom,web,bibliographic,,McGraw-Hill Dictionary of Scientific and Technical Terms,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Coelom,book,bibliographic,,"Invertebrate Zoology, 7th edition",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Key characters uniting hemichordates and chordates: homologies or homoplasies?' at 31% similarity, below the threshold for a match."
Coelom,journal,doi,10.1016/j.ympev.2015.11.017,Phylogeny of Syndermata (Syn. Rotifera): Mitochondrial gene order verifies epizoic Seisonidea as sister to endoparasitic Acanthocephala within monophyletic Hemirotifera,verified,crossref,title matches record (100% similarity)
Coelom,book,bibliographic,,Biology of Non-Chordates,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Hyperinsulinism-hyperammonemia syndrome,journal,doi,10.1172/jci35414,Clinical characteristics and biochemical mechanisms of congenital hyperinsulinism associated with dominant KATP channel mutations.,verified,crossref,title matches record (100% similarity)
Hyperinsulinism-hyperammonemia syndrome,journal,doi,10.1021/acs.biochem.6b00979,Identification of a Novel Activator of Mammalian Glutamate Dehydrogenase,verified,crossref,title matches record (100% similarity)
Hypericum calycinum,web,bibliographic,,Hypericum calycinum,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Hypericum calycinum,journal,doi,10.1614/ipsm-d-13-00095.1,Successes We May Not Have Had: A Retrospective Analysis of Selected Weed Biological Control Agents in the United States,verified,crossref,title matches record (100% similarity)
Hypericum calycinum,web,bibliographic,,Hypericum calycinum & Apis mellifera,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Hypericum calycinum,journal,doi,10.1016/j.phytochem.2004.11.003,Biosynthesis of the hyperforin skeleton in Hypericum calycinum cell cultures.,verified,crossref,title matches record (100% similarity)
Pardalote,book,bibliographic,,Handbook of the Birds of the World,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Pardalote,book,bibliographic,,Analyse d'une Nouvelle Ornithologie Élémentaire,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Pardalote,book,bibliographic,,Check-list of Birds of the World,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Pardalote,book,bibliographic,,The Helm Dictionary of Scientific Bird Names,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Pardalote,journal,bibliographic,,On some new genera of birds,verified,crossref,matched a Crossref record by title search (83% similarity); no DOI given in document
Pardalote,journal,doi,10.1073/pnas.1813206116,Earth history and the passerine superradiation,verified,crossref,title matches record (100% similarity)
Pardalote,web,bibliographic,,"Names List for Pardalotus (Pardalotinus) striatus (Gmelin, 1789)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'PLANT NAMES AS FIRST NAMES IN THE SWEDISH CULTURE' at 47% similarity, below the threshold for a match."
Pardalote,web,bibliographic,,"Names List for Pardalotus (Pardalotus) punctatus (Shaw, 1792)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'PLANT NAMES AS FIRST NAMES IN THE SWEDISH CULTURE' at 45% similarity, below the threshold for a match."
Bob Stewart (communist),book,bibliographic,,Mask: Mi5's Penetration of the Communist Party of Great Britain,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bob Stewart (communist),web,bibliographic,,Why did Dundee councillor spy for Soviet dictator Joseph Stalin?,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Transfacial Transclival Approach for Midline Posterior Circulation Aneurysms' at 40% similarity, below the threshold for a match."
Bob Stewart (communist),journal,doi,10.1017/s0020859000004375,The Scottish Prohibition Party and the Millennium,verified,crossref,title matches record (100% similarity)
Bob Stewart (communist),web,bibliographic,,"Desmond Greaves Journal, Vol. 21 1969-70",verified,crossref,matched a Crossref record by title search (86% similarity); no DOI given in document
